MS,19
172,353,154,335,136,317,118,299,100,281,82,263,64,245,46,227,28,209,10
11,173,354,155,336,137,318,119,300,101,282,83,264,65,246,47,228,29,191
192,12,174,355,156,337,138,319,120,301,102,283,84,265,66,247,48,210,30
31,193,13,175,356,157,338,139,320,121,302,103,284,85,266,67,229,49,211
212,32,194,14,176,357,158,339,140,321,122,303,104,285,86,248,68,230,50
51,213,33,195,15,177,358,159,340,141,322,123,304,105,267,87,249,69,231
232,52,214,34,196,16,178,359,160,341,142,323,124,286,106,268,88,250,70
71,233,53,215,35,197,17,179,360,161,342,143,305,125,287,107,269,89,251
252,72,234,54,216,36,198,18,180,361,162,324,144,306,126,288,108,270,90
91,253,73,235,55,217,37,199,19,181,343,163,325,145,307,127,289,109,271
272,92,254,74,236,56,218,38,200,1,182,344,164,326,146,308,128,290,110
111,273,93,255,75,237,57,219,20,201,2,183,345,165,327,147,309,129,291
292,112,274,94,256,76,238,39,220,21,202,3,184,346,166,328,148,310,130
131,293,113,275,95,257,58,239,40,221,22,203,4,185,347,167,329,149,311
312,132,294,114,276,77,258,59,240,41,222,23,204,5,186,348,168,330,150
151,313,133,295,96,277,78,259,60,241,42,223,24,205,6,187,349,169,331
332,152,314,115,296,97,278,79,260,61,242,43,224,25,206,7,188,350,170
171,333,134,315,116,297,98,279,80,261,62,243,44,225,26,207,8,189,351
352,153,334,135,316,117,298,99,280,81,262,63,244,45,226,27,208,9,190
